
 Read odom 

 odom: left 9573713 | right 9564472

 odom: left 9573911 | right 9564472

 odom: left 9573911 | right 9564472

 odom: left 9573911 | right 9564472

 odom: left 9573911 | right 9564472

 odom: left 9574111 | right 9564672

 odom: left 9574111 | right 9564672

 odom: left 9574111 | right 9564672

 odom: left 9574111 | right 9564672

 odom: left 9574310 | right 9564871

 odom: left 9574310 | right 9564871

 odom: left 9574310 | right 9564871

 odom: left 9574310 | right 9564871

 odom: left 9574310 | right 9565071

 odom: left 9574510 | right 9565071

 odom: left 9574510 | right 9565071

 odom: left 9574510 | right 9565071

 odom: left 9574510 | right 9565071

 odom: left 9574710 | right 9565273

 odom: left 9574710 | right 9565273

 odom: left 9574710 | right 9565273

 odom: left 9574710 | right 9565273

 odom: left 9574710 | right 9565273

 odom: left 9574910 | right 9565472

 odom: left 9574910 | right 9565472

 odom: left 9574910 | right 9565472

 odom: left 9574910 | right 9565472

 odom: left 9574910 | right 9565673

 odom: left 9575112 | right 9565673

 odom: left 9575112 | right 9565673

 odom: left 9575112 | right 9565673

 odom: left 9575112 | right 9565673

 odom: left 9575313 | right 9565874

 odom: left 9575313 | right 9565874

 odom: left 9575313 | right 9565874

 odom: left 9575313 | right 9565874

 odom: left 9575313 | right 9565874

 odom: left 9575513 | right 9566075

 odom: left 9575513 | right 9566075

 odom: left 9575513 | right 9566075

 odom: left 9575513 | right 9566075

 odom: left 9575513 | right 9566075

 odom: left 9575713 | right 9566275

 odom: left 9575713 | right 9566275

 odom: left 9575713 | right 9566275

 odom: left 9575713 | right 9566275

 odom: left 9575912 | right 9566474

 odom: left 9575912 | right 9566474

 odom: left 9575912 | right 9566474

 odom: left 9575912 | right 9566474

 odom: left 9576112 | right 9566675

 odom: left 9576112 | right 9566675

 odom: left 9576112 | right 9566675

 odom: left 9576112 | right 9566675

 odom: left 9576311 | right 9566874

 odom: left 9576311 | right 9566874

 odom: left 9576311 | right 9566874

 odom: left 9576311 | right 9566874

 odom: left 9576311 | right 9566874

 odom: left 9576509 | right 9567073

 odom: left 9576509 | right 9567073

 odom: left 9576509 | right 9567073

 odom: left 9576509 | right 9567073

 odom: left 9576709 | right 9567273

 odom: left 9576709 | right 9567273

 odom: left 9576709 | right 9567273

 odom: left 9576709 | right 9567273

 odom: left 9576907 | right 9567472

 odom: left 9576907 | right 9567472

 odom: left 9576907 | right 9567472

 odom: left 9576907 | right 9567472

 odom: left 9576907 | right 9567472

 odom: left 9577106 | right 9567672

 odom: left 9577106 | right 9567672

 odom: left 9577106 | right 9567672

 odom: left 9577106 | right 9567672

 odom: left 9577305 | right 9567871

 odom: left 9577305 | right 9567871

 odom: left 9577305 | right 9567871

 odom: left 9577305 | right 9567871

 odom: left 9577305 | right 9568071

 odom: left 9577503 | right 9568071

 odom: left 9577503 | right 9568071

 odom: left 9577503 | right 9568071

 odom: left 9577503 | right 9568256

 odom: left 9577703 | right 9568272

 odom: left 9577703 | right 9568272

 odom: left 9577703 | right 9568272

 odom: left 9577703 | right 9568272

 odom: left 9577901 | right 9568471

 odom: left 9577901 | right 9568471

 odom: left 9577901 | right 9568471

 odom: left 9577901 | right 9568471

 odom: left 9577901 | right 9568672

 odom: left 9578099 | right 9568672

 odom: left 9578099 | right 9568672

 odom: left 9578099 | right 9568672

 odom: left 9578099 | right 9568672

 odom: left 9578297 | right 9568873

 odom: left 9578297 | right 9568873

 odom: left 9578297 | right 9568873

 odom: left 9578297 | right 9568873

 odom: left 9578494 | right 9569072

 odom: left 9578494 | right 9569072

 odom: left 9578494 | right 9569072

 odom: left 9578494 | right 9569072

 odom: left 9578494 | right 9569273

 odom: left 9578693 | right 9569273

 odom: left 9578693 | right 9569273

 odom: left 9578693 | right 9569273

 odom: left 9578693 | right 9569273

 odom: left 9578892 | right 9569473

 odom: left 9578892 | right 9569473

 odom: left 9578892 | right 9569473

 odom: left 9578892 | right 9569473

 odom: left 9579092 | right 9569674

 odom: left 9579092 | right 9569674

 odom: left 9579092 | right 9569674

 odom: left 9579092 | right 9569674

 odom: left 9579092 | right 9569874

 odom: left 9579294 | right 9569874

 odom: left 9579294 | right 9569874

 odom: left 9579294 | right 9569874

 odom: left 9579294 | right 9569874

 odom: left 9579493 | right 9570074

 odom: left 9579493 | right 9570074

 odom: left 9579493 | right 9570074

 odom: left 9579493 | right 9570074

 odom: left 9579692 | right 9570275

 odom: left 9579692 | right 9570275

 odom: left 9579692 | right 9570275

 odom: left 9579692 | right 9570275

 odom: left 9579692 | right 9570275

 odom: left 9579892 | right 9570475

 odom: left 9579892 | right 9570475

 odom: left 9579892 | right 9570475

 odom: left 9579892 | right 9570475

 odom: left 9579892 | right 9570475

 odom: left 9580091 | right 9570675

 odom: left 9580091 | right 9570675

 odom: left 9580091 | right 9570675

 odom: left 9580091 | right 9570675

 odom: left 9580091 | right 9570876

 odom: left 9580293 | right 9570876

 odom: left 9580293 | right 9570876

 odom: left 9580293 | right 9570876

 odom: left 9580293 | right 9570876

 odom: left 9580494 | right 9571076

 odom: left 9580494 | right 9571076

 odom: left 9580494 | right 9571076

 odom: left 9580494 | right 9571076

 odom: left 9580494 | right 9571076

 odom: left 9580696 | right 9571276

 odom: left 9580696 | right 9571276

 odom: left 9580696 | right 9571276

 odom: left 9580696 | right 9571276

 odom: left 9580899 | right 9571476

 odom: left 9580899 | right 9571476

 odom: left 9580899 | right 9571476

 odom: left 9580899 | right 9571476

 odom: left 9580899 | right 9571476

 odom: left 9581101 | right 9571675

 odom: left 9581101 | right 9571675

 odom: left 9581101 | right 9571675

 odom: left 9581101 | right 9571675

 odom: left 9581101 | right 9571675

 odom: left 9581304 | right 9571876

 odom: left 9581304 | right 9571876

 odom: left 9581304 | right 9571876

 odom: left 9581304 | right 9571876

 odom: left 9581304 | right 9571876

 odom: left 9581506 | right 9572075

 odom: left 9581506 | right 9572075

 odom: left 9581506 | right 9572075

 odom: left 9581506 | right 9572075

 odom: left 9581506 | right 9572075

 odom: left 9581708 | right 9572274

 odom: left 9581708 | right 9572274

 odom: left 9581708 | right 9572274

 odom: left 9581708 | right 9572274

 odom: left 9581708 | right 9572474

 odom: left 9581910 | right 9572474

 odom: left 9581910 | right 9572474

 odom: left 9581910 | right 9572474

 odom: left 9581910 | right 9572474

 odom: left 9582110 | right 9572673

 odom: left 9582110 | right 9572673

 odom: left 9582110 | right 9572673

 odom: left 9582110 | right 9572673

 odom: left 9582110 | right 9572673

 odom: left 9582311 | right 9572874

 odom: left 9582311 | right 9572874

 odom: left 9582311 | right 9572874

 odom: left 9582311 | right 9572874

 odom: left 9582311 | right 9572874

 odom: left 9582510 | right 9573074

 odom: left 9582510 | right 9573074

 odom: left 9582510 | right 9573074

 odom: left 9582510 | right 9573074

 odom: left 9582510 | right 9573074

 odom: left 9582709 | right 9573274

 odom: left 9582709 | right 9573274

 odom: left 9582709 | right 9573274

 odom: left 9582709 | right 9573274

 odom: left 9582908 | right 9573474

 odom: left 9582908 | right 9573474

 odom: left 9582908 | right 9573474

 odom: left 9582908 | right 9573474

 odom: left 9582908 | right 9573474

 odom: left 9583107 | right 9573674

 odom: left 9583107 | right 9573674

 odom: left 9583107 | right 9573674

 odom: left 9583107 | right 9573674

 odom: left 9583309 | right 9573874

 odom: left 9583309 | right 9573874

 odom: left 9583309 | right 9573874

 odom: left 9583309 | right 9573874

 odom: left 9583509 | right 9574073

 odom: left 9583509 | right 9574073

 odom: left 9583509 | right 9574073

 odom: left 9583509 | right 9574073

 odom: left 9583509 | right 9574073

 odom: left 9583709 | right 9574272

 odom: left 9583709 | right 9574272

 odom: left 9583709 | right 9574272

 odom: left 9583709 | right 9574272

 odom: left 9583910 | right 9574472

 odom: left 9583910 | right 9574472

 odom: left 9583910 | right 9574472

 odom: left 9583910 | right 9574472

 odom: left 9584109 | right 9574672

 odom: left 9584109 | right 9574672

 odom: left 9584109 | right 9574672

 odom: left 9584109 | right 9574672

 odom: left 9584109 | right 9574672

 odom: left 9584309 | right 9574872

 odom: left 9584309 | right 9574872

 odom: left 9584309 | right 9574872

 odom: left 9584309 | right 9574872

 odom: left 9584509 | right 9575072

 odom: left 9584509 | right 9575072

 odom: left 9584509 | right 9575072

 odom: left 9584509 | right 9575072

 odom: left 9584707 | right 9575271

 odom: left 9584707 | right 9575271

 odom: left 9584707 | right 9575271

 odom: left 9584707 | right 9575271

 odom: left 9584707 | right 9575271

 odom: left 9584907 | right 9575471

 odom: left 9584907 | right 9575471

 odom: left 9584907 | right 9575471

 odom: left 9584907 | right 9575471

 odom: left 9584907 | right 9575471

 odom: left 9585107 | right 9575671

 odom: left 9585107 | right 9575671

 odom: left 9585107 | right 9575671

 odom: left 9585107 | right 9575671

 odom: left 9585107 | right 9575671

 odom: left 9585306 | right 9575872

 odom: left 9585306 | right 9575872

 odom: left 9585306 | right 9575872

 odom: left 9585306 | right 9575872

 odom: left 9585306 | right 9576072

 odom: left 9585505 | right 9576072

 odom: left 9585505 | right 9576072

 odom: left 9585505 | right 9576072

 odom: left 9585704 | right 9576271

 odom: left 9585704 | right 9576271

 odom: left 9585704 | right 9576271

 odom: left 9585704 | right 9576271

 odom: left 9585704 | right 9576472

 odom: left 9585904 | right 9576472

 odom: left 9585904 | right 9576472

 odom: left 9585904 | right 9576472

 odom: left 9585904 | right 9576472

 odom: left 9586104 | right 9576671

 odom: left 9586104 | right 9576671

 odom: left 9586104 | right 9576671

 odom: left 9586104 | right 9576671

 odom: left 9586304 | right 9576871

 odom: left 9586304 | right 9576871

 odom: left 9586304 | right 9576871

 odom: left 9586304 | right 9576871

 odom: left 9586304 | right 9577072

 odom: left 9586505 | right 9577072

 odom: left 9586505 | right 9577072

 odom: left 9586505 | right 9577072

 odom: left 9586505 | right 9577072

 odom: left 9586705 | right 9577271

 odom: left 9586705 | right 9577271

 odom: left 9586705 | right 9577271

 odom: left 9586705 | right 9577271

 odom: left 9586906 | right 9577472

 odom: left 9586906 | right 9577472

 odom: left 9586906 | right 9577472

 odom: left 9586906 | right 9577472

 odom: left 9586906 | right 9577672

 odom: left 9587105 | right 9577672

 odom: left 9587105 | right 9577672

 odom: left 9587105 | right 9577672

 odom: left 9587105 | right 9577672

 odom: left 9587305 | right 9577872

 odom: left 9587305 | right 9577872

 odom: left 9587305 | right 9577872

 odom: left 9587305 | right 9577872

 odom: left 9587505 | right 9578073

 odom: left 9587505 | right 9578073

 odom: left 9587505 | right 9578073

 odom: left 9587505 | right 9578073

 odom: left 9587505 | right 9578272

 odom: left 9587704 | right 9578272

 odom: left 9587704 | right 9578272

 odom: left 9587704 | right 9578272

 odom: left 9587704 | right 9578272

 odom: left 9587905 | right 9578472

 odom: left 9587905 | right 9578472

 odom: left 9587905 | right 9578472

 odom: left 9587905 | right 9578472

 odom: left 9588105 | right 9578672

 odom: left 9588105 | right 9578672

 odom: left 9588105 | right 9578672

 odom: left 9588105 | right 9578672

 odom: left 9588105 | right 9578871

 odom: left 9588306 | right 9578871

 odom: left 9588306 | right 9578871

 odom: left 9588306 | right 9578871

 odom: left 9588306 | right 9578871

 odom: left 9588507 | right 9579071

 odom: left 9588507 | right 9579071

 odom: left 9588507 | right 9579071

 odom: left 9588507 | right 9579071

 odom: left 9588706 | right 9579270

 odom: left 9588706 | right 9579270

 odom: left 9588706 | right 9579270

 odom: left 9588706 | right 9579270

 odom: left 9588706 | right 9579470

 odom: left 9588907 | right 9579470

 odom: left 9588907 | right 9579470

 odom: left 9588907 | right 9579470

 odom: left 9588907 | right 9579470

 odom: left 9589107 | right 9579669

 odom: left 9589107 | right 9579669

 odom: left 9589107 | right 9579669

 odom: left 9589107 | right 9579669

 odom: left 9589306 | right 9579869

 odom: left 9589306 | right 9579869

 odom: left 9589306 | right 9579869

 odom: left 9589306 | right 9579869

 odom: left 9589306 | right 9580069

 odom: left 9589507 | right 9580069

